장비명,NAS경로,폴더,사용,메모
AOI-1,X:\,AOI-1,Y,Camtek 1~7 (\\10.142.80.90)
AOI-2,X:\,AOI-2,Y,Camtek 1~7 (\\10.142.80.90)
AOI-3,X:\,AOI-3,Y,Camtek 1~7 (\\10.142.80.90)
AOI-4,X:\,AOI-4,Y,Camtek 1~7 (\\10.142.80.90)
AOI-5,X:\,AOI-5,Y,Camtek 1~7 (\\10.142.80.90)
AOI-6,X:\,AOI-6,Y,Camtek 1~7 (\\10.142.80.90)
AOI-7,X:\,AOI-7,Y,Camtek 1~7 (\\10.142.80.90)
AOI-8,M:\,AOI-8,Y,Camtek 8~9 (\\10.142.80.90)
AOI-9,M:\,AOI-9,Y,Camtek 8~9 (\\10.142.80.90)
AOI-10,V:\,AOI-10,Y,Camtek 10~16 (\\10.142.80.91)
AOI-11,V:\,AOI-11,Y,Camtek 10~16 (\\10.142.80.91)
AOI-12,V:\,AOI-12,Y,Camtek 10~16 (\\10.142.80.91)
AOI-13,V:\,AOI-13,Y,Camtek 10~16 (\\10.142.80.91)
AOI-14,V:\,AOI-14,Y,Camtek 10~16 (\\10.142.80.91)
AOI-15,V:\,AOI-15,Y,Camtek 10~16 (\\10.142.80.91)
AOI-16,V:\,AOI-16,Y,Camtek 10~16 (\\10.142.80.91)
AOI-17,P:\,AOI-17,Y,Camtek 17~23 (\\10.142.80.88)
AOI-18,P:\,AOI-18,Y,Camtek 17~23 (\\10.142.80.88)
AOI-19,P:\,AOI-19,Y,Camtek 17~23 (\\10.142.80.88)
AOI-20,P:\,AOI-20,Y,Camtek 17~23 (\\10.142.80.88)
AOI-21,P:\,AOI-21,Y,Camtek 17~23 (\\10.142.80.88)
AOI-22,P:\,AOI-22,Y,Camtek 17~23 (\\10.142.80.88)
AOI-23,P:\,AOI-23,Y,Camtek 17~23 (\\10.142.80.88)
AOI-24,Y:\,AOI-24,Y,Camtek 24~25 (\\10.142.80.88)
AOI-25,Y:\,AOI-25,Y,Camtek 24~25 (\\10.142.80.88)
4층,I:\,*,Y,Camtek 4층 (\\10.142.80.89) · 폴더 * = 이 NAS 안의 장비 폴더를 모두 자동 등록 (장비가 늘어나도 그대로)
